date,sku_id,units_sold,revenue,unit_price,promo_flag
2024-01-03,SKU_084,4.0,19841.0,4960.25,0
2024-01-03,SKU_086,2.0,12228.54,6114.27,0
2024-01-03,SKU_087,1.0,3016.54,3016.54,0
2024-01-03,SKU_091,1.0,4948.92,4948.92,0
2024-01-03,SKU_093,3.0,20762.16,6920.72,1
2024-01-03,SKU_095,7.0,32259.92,4608.56,1
2024-01-03,SKU_097,9.0,32818.68,3646.52,0
2024-01-03,SKU_098,7.0,21175.63,3025.09,0
2024-01-03,SKU_099,8.0,38296.16,4787.02,0
2024-01-03,SKU_102,2.0,9322.98,4661.49,0
2024-01-03,SKU_105,1.0,6145.39,6145.39,0
2024-01-03,SKU_106,1.0,2106.1,2106.1,0
2024-01-03,SKU_108,4.0,27919.92,6979.98,1
2024-01-03,SKU_110,1.0,1624.38,1624.38,0
2024-01-03,SKU_111,1.0,5382.94,5382.94,0
2024-01-03,SKU_115,1.0,1067.68,1067.68,0
2024-01-03,SKU_116,2.0,3163.28,1581.64,1
2024-01-03,SKU_121,1.0,2511.38,2511.38,0
2024-01-03,SKU_126,4.0,1573.52,393.38,0
2024-01-03,SKU_127,2.0,3899.5,1949.75,0
2024-01-03,SKU_128,1.0,4175.75,4175.75,0
2024-01-03,SKU_129,1.0,3002.02,3002.02,0
2024-01-03,SKU_130,1.0,3856.77,3856.77,0
2024-01-03,SKU_132,7.0,13401.64,1914.52,0
2024-01-03,SKU_134,3.0,17850.72,5950.24,0
2024-01-03,SKU_135,1.0,4281.66,4281.66,0
2024-01-03,SKU_137,1.0,5129.48,5129.48,0
2024-01-03,SKU_140,1.0,6487.08,6487.08,0
2024-01-03,SKU_143,2.0,13529.32,6764.66,1
2024-01-03,SKU_145,3.0,20391.72,6797.24,0
2024-01-03,SKU_146,1.0,5247.89,5247.89,0
2024-01-03,SKU_147,1.0,6936.26,6936.26,0
2024-01-03,SKU_150,1.0,2455.9,2455.9,0
2024-01-03,SKU_151,2.0,13268.58,6634.29,0
2024-01-03,SKU_152,4.0,16104.48,4026.12,0
2024-01-03,SKU_155,5.0,23123.8,4624.76,0
2024-01-03,SKU_156,1.0,5373.26,5373.26,1
2024-01-03,SKU_161,1.0,4679.75,4679.75,0
2024-01-03,SKU_163,1.0,2779.07,2779.07,0
2024-01-03,SKU_164,6.0,39521.34,6586.89,0
2024-01-03,SKU_165,1.0,3046.53,3046.53,0
2024-01-03,SKU_167,1.0,8083.4,8083.4,0
2024-01-03,SKU_168,1.0,2085.16,2085.16,1
2024-01-03,SKU_169,1.0,3710.4,3710.4,0
2024-01-03,SKU_170,1.0,3860.66,3860.66,0
2024-01-03,SKU_171,1.0,1275.54,1275.54,0
2024-01-03,SKU_173,2.0,7088.32,3544.16,0
2024-01-03,SKU_174,3.0,13731.33,4577.11,0
2024-01-03,SKU_175,4.0,7019.6,1754.9,0
2024-01-03,SKU_176,14.0,43610.28,3115.02,1
2024-01-03,SKU_179,1.0,3373.13,3373.13,0
2024-01-03,SKU_180,1.0,4462.16,4462.16,0
2024-01-03,SKU_181,3.0,3595.56,1198.52,0
2024-01-03,SKU_184,1.0,1450.88,1450.88,0
2024-01-03,SKU_185,2.0,13292.48,6646.24,0
2024-01-03,SKU_185,2.0,13292.48,6646.24,0
2024-01-03,SKU_186,7.0,41187.58,5883.94,0
2024-01-03,SKU_187,10.0,25998.8,2599.88,0
2024-01-03,SKU_188,1.0,5474.01,5474.01,0
2024-01-03,SKU_189,2.0,3476.6,1738.3,0
2024-01-03,SKU_191,,,4654.87,0
2024-01-03,SKU_194,1.0,842.85,842.85,1
2024-01-03,SKU_197,5.0,16178.7,3235.74,0
2024-01-04,SKU_001,1.0,6649.4,6649.4,0
2024-01-04,SKU_002,1.0,6944.94,6944.94,1
2024-01-04,SKU_003,2.0,14155.5,7077.75,0
2024-01-04,SKU_004,1.0,4246.4,4246.4,0
2024-01-04,SKU_007,1.0,5473.68,5473.68,0
2024-01-04,SKU_008,2.0,3729.96,1864.98,1
2024-01-04,SKU_009,2.0,11615.28,5807.64,0
2024-01-04,SKU_014,1.0,1227.34,1227.34,0
2024-01-04,SKU_015,1.0,6395.5,6395.5,0
2024-01-04,SKU_019,1.0,6289.29,6289.29,0
2024-01-04,SKU_020,4.0,3530.52,882.63,0
2024-01-04,SKU_026,1.0,4421.91,4421.91,0
2024-01-04,SKU_029,1.0,1985.67,1985.67,0
2024-01-04,SKU_030,1.0,492.38,492.38,0
2024-01-04,SKU_032,1.0,2457.96,2457.96,0
2024-01-04,SKU_035,11.0,50066.61,4551.51,0
2024-01-04,SKU_038,2.0,2350.72,1175.36,0
2024-01-04,SKU_039,1.0,3306.01,3306.01,0
2024-01-04,SKU_042,2.0,13792.36,6896.18,0
2024-01-04,SKU_043,8.0,52173.6,6521.7,0
2024-01-04,SKU_044,1.0,4535.79,4535.79,0
2024-01-04,SKU_045,1.0,3931.32,3931.32,0
2024-01-04,SKU_050,5.0,31850.75,6370.15,0
2024-01-04,SKU_052,3.0,4134.0,1378.0,0
2024-01-04,SKU_054,1.0,4117.54,4117.54,0
2024-01-04,SKU_057,2.0,7749.08,3874.54,0
2024-01-04,SKU_058,1.0,4130.56,4130.56,0
2024-01-04,SKU_060,1.0,7214.79,7214.79,0
2024-01-04,SKU_062,1.0,8973.39,8973.39,0
2024-01-04,SKU_066,1.0,501.56,501.56,0
2024-01-04,SKU_068,3.0,10694.58,3564.86,0
2024-01-04,SKU_069,1.0,7582.31,7582.31,0
2024-01-04,SKU_070,11.0,82370.09,7488.19,0
2024-01-04,SKU_071,2.0,7872.68,3936.34,0
2024-01-04,SKU_072,1.0,6363.95,6363.95,0
2024-01-04,SKU_073,8.0,8732.8,1091.6,0
2024-01-04,SKU_075,,,6066.1,0
2024-01-04,SKU_076,2.0,3688.34,1844.17,0
2024-01-04,SKU_077,13.0,14673.49,1128.73,0
2024-01-04,SKU_078,3.0,6927.39,2309.13,0
2024-01-04,SKU_079,2.0,14708.26,7354.13,0
2024-01-04,SKU_082,2.0,2066.04,1033.02,0
2024-01-04,SKU_083,2.0,18304.94,9152.47,0
2024-01-04,SKU_084,3.0,14880.75,4960.25,0
2024-01-04,SKU_088,2.0,11659.38,5829.69,0
2024-01-04,SKU_089,2.0,4100.42,2050.21,0
2024-01-04,SKU_091,1.0,4948.92,4948.92,0
2024-01-04,SKU_094,2.0,1465.96,732.98,0
2024-01-04,SKU_095,1.0,5378.04,5378.04,0
2024-01-04,SKU_097,6.0,21879.12,3646.52,0
2024-01-04,SKU_098,5.0,13180.4,2636.08,1
2024-01-04,SKU_099,7.0,33509.14,4787.02,0
2024-01-04,SKU_100,1.0,3659.7,3659.7,0
2024-01-04,SKU_102,1.0,4661.49,4661.49,0
2024-01-04,SKU_106,2.0,4212.2,2106.1,0
2024-01-04,SKU_113,3.0,5073.33,1691.11,0
2024-01-04,SKU_114,1.0,3813.08,3813.08,0
2024-01-04,SKU_115,1.0,1067.68,1067.68,0
2024-01-04,SKU_116,6.0,10959.84,1826.64,0
2024-01-04,SKU_117,1.0,8246.88,8246.88,0
2024-01-04,SKU_120,2.0,1968.62,984.31,0
2024-01-04,SKU_123,1.0,3105.99,3105.99,0
2024-01-04,SKU_126,1.0,393.38,393.38,0
2024-01-04,SKU_130,1.0,3856.77,3856.77,0
2024-01-04,SKU_132,13.0,24888.76,1914.52,0
2024-01-04,SKU_137,1.0,5129.48,5129.48,0
2024-01-04,SKU_140,1.0,5861.99,5861.99,1
2024-01-04,SKU_142,2.0,13952.58,6976.29,0
2024-01-04,SKU_143,3.0,21961.53,7320.51,0
2024-01-04,SKU_145,1.0,6797.24,6797.24,0
2024-01-04,SKU_146,2.0,10495.78,5247.89,0
2024-01-04,SKU_147,1.0,6936.26,6936.26,0
2024-01-04,SKU_150,1.0,2272.26,2272.26,1
2024-01-04,SKU_151,1.0,6634.29,6634.29,0
2024-01-04,SKU_152,2.0,8052.24,4026.12,0
2024-01-04,SKU_153,1.0,3891.69,3891.69,0
2024-01-04,SKU_154,4.0,24545.52,6136.38,0
2024-01-04,SKU_155,1.0,3939.97,3939.97,1
2024-01-04,SKU_156,2.0,12442.66,6221.33,0
2024-01-04,SKU_157,1.0,8462.06,8462.06,0
2024-01-04,SKU_164,8.0,52695.12,6586.89,0
2024-01-04,SKU_165,1.0,3046.53,3046.53,0
2024-01-04,SKU_166,1.0,2005.02,2005.02,0
2024-01-04,SKU_167,2.0,16166.8,8083.4,0
2024-01-04,SKU_168,1.0,2252.1,2252.1,0
2024-01-04,SKU_170,1.0,3860.66,3860.66,0
2024-01-04,SKU_172,1.0,2542.89,2542.89,0
2024-01-04,SKU_173,1.0,3544.16,3544.16,0
2024-01-04,SKU_174,1.0,4577.11,4577.11,0
2024-01-04,SKU_175,2.0,3509.8,1754.9,0
2024-01-04,SKU_176,4.0,14529.8,3632.45,0
2024-01-04,SKU_179,1.0,3373.13,3373.13,0
2024-01-04,SKU_180,2.0,8924.32,4462.16,0
2024-01-04,SKU_181,2.0,2397.04,1198.52,0
2024-01-04,SKU_182,2.0,5671.0,2835.5,0
2024-01-04,SKU_183,1.0,1922.32,1922.32,0
2024-01-04,SKU_184,3.0,4352.64,1450.88,0
2024-01-04,SKU_185,1.0,6646.24,6646.24,0
2024-01-04,SKU_186,7.0,41187.58,5883.94,0
2024-01-04,SKU_187,5.0,12999.4,2599.88,0
2024-01-04,SKU_190,4.0,12026.28,3006.57,0
2024-01-04,SKU_193,1.0,8292.89,8292.89,0
2024-01-04,SKU_194,1.0,945.38,945.38,0
2024-01-04,SKU_195,2.0,6280.08,3140.04,0
2024-01-04,SKU_197,4.0,12942.96,3235.74,0
2024-01-04,SKU_200,1.0,5109.03,5109.03,1
